data.mel-adem-53-seriennummer,data.regenerations-cmd-code,data.regenerations-code
202253MD1006-2,,5635A9-MD-E8EA7C
1053MD1056-1,,2F9342-MD-E813D2
202053MD1690-1,,50F4A9-MD-E88937
1153MD1177-1,,E4D711-MD-E849AF
202153MD1454-2,,A0E09B-MD-E8D2E7
201653MD1943-1,,4FE625-MD-E8A723
202253MD1555-2,,178625-MD-E8A299
201553MD1824-1,,C8A625-MD-E8B34E
201853MD1564-2,,CED32F-MD-E84ACE
201953MD1719-1,,E83B6B-MD-E87EEA 
201753MD1391-1,,A1A5A9-MD-E86A67
202053MD1156-2,,7D8625-MD-E834A7
202253MD1133-2,,3D167B-MD-E88F6F
202453MD1607-1,,B8B8E8-MD-E8F8C4
202553MD1202-2,,B84F7B-MD-E843AB
202353MD1372-2,,53B4A9-MD-E8AC66
202253MD1755-1,,9A2FFF-MD-E86FB6
1353MD1447-2,,C714A9-MD-E81FAA
202053MD1080-2,,888B6B-MD-E8ADEA
202553MD1273-1,,BD6625-MD-E812C8
202553MD1695-1,,0174A9-MD-E860F1
202253MD1742-1,,1685A9-MD-E8A866
201953MD1615-2,,43F62C-MD-E86DBA
201553MD1036-2,,C58625-MD-E83346
202253MD1028-1,,884496-MD-E8027C
201653MD1652-2,,175625-MD-E86FE8
201853MD1300-2,,38B5A9-MD-E8CCB2
202453MD1784-1,,6864A9-MD-E88B70
202153CMD1155-1,567CB9-MC-E8A1A9,567CB9-MC-E8A1A9
201553MD1570-1,,907FBC-MD-E8DBA2
201753MD1035-1,,1C85A9-MD-E87D16
201653MD1332-2,,766625-MD-E8AD8F
1053MD1091-2,,2E6D87-MD-E8CE26
202453MD1302-2,,7CF5A9-MD-E8990C
201753CMD1057-1,76180B-MC-E8487A,76180B-MC-E8487A
201953MD1709-2,,0965A9-MD-E84104
202353MD1708-1,,02AF65-MD-E841E0
1453MD1410-2,,7C94A9-MD-E873FA
202353MD1382-2,,2334A9-MD-E861D8
202253MD1133-2,,3D167B-MD-E88F6F
201553MD1098-1,,7E35A9-MD-E88327
202253MD1803-2,,7C05A9-MD-E81F19
202553MD1030-1,,275625-MD-E87ADF
1453MD1277-1,,C445A9-MD-E824FA
202053MD1677-2,,CD2B6B-MD-E8FCDA
202353MD1204-1,,59C625-MD-E827AB
202353CMD1086-2,519B6D-MC-E852C7,
201853MD1231-1,,25A2BD-MD-E82EA6
202453CMD1128-3,83080B-MC-E82EE3,
1453MD1576-2,,A1A5A9-MD-E86A67
202553CMD1010-2,6C145D-MC-E8C77A,6C145D-MC-E8C77A
201853MD1097-1,,7374A9-MD-E82190
201653MD1070-2,,044625-MD-E8BDAD
201653MD1070-2,,044625-MD-E8BDAD
